H|01020101|600420|A|20220612|12
D|001|20220612|317276900|10566332892|10608848692|274761100
D|002|20220612|220931600|5388558838|5475065138|134425300
D|009|20220612|218318500|4789021664|4790548264|216791900
D|007|20220612|261533300|5017367953|5114585253|164316000
D|011|20220612|99538200|1144296426|1155789526|88045100
D|012|20220612|106093200|1732915034|1730655734|108352500
D|005|20220612|403731400|3371551218|3563218618|212074000
D|008|20220612|100782000|2922529714|2986968414|36343300
D|003|20220612|208844700|4487691720|4675909220|20627200
D|006|20220612|96344700|2737344078|2637680978|196007800
D|010|20220612|336003700|7108991528|7195724328|249270900
D|004|20220612|248492500|4132625242|4167159742|213958000
